Author Name,Rating,Review Text,Review Date,Sentiment (Rating-Based)
Abdull Al,1,"قهوة اليوم كل يوم بطعم انت وحظك
كلمت الباريستا قال هذا الموجود
تجربه لن تتكرر قلنا محمصه وشغل مرتب طلع اي كلام",2025-10-06 00:08:12.863000+00:00,Negative
Naif. K,5,ممتازين الله يوفقهم,2025-10-05 23:38:43.241000+00:00,Positive
A Shahin,1,ازاج تجميع البن وتلزيق الكراتين لا يمكن احتماله وكان العامل متقصد على هالفعل,2025-10-04 14:41:14.927000+00:00,Negative
haifa mohammad,5,المكان والقهوة رائعين.. لكن ازعاج عالي بسبب الموظفين يستخدمون جوالاتهم بصوت مرتفع + صوت جاهز الطلبات الخارجي عالي جداً والموظفين متعودين عليه مايقفلونه.. اتمنى التوفيق لأصحاب القهوة والانتباه للنقاط الي ذكرتها🌹,2025-10-04 08:36:17.054000+00:00,Positive
حاتم آل وقيد,5,"من أفضل الكافيهات والله
ما شاء الله كل شيء يفتح النفس
القهوة والحلا و الجلسة
تدخل الكوفي متكدر وتطلع مبسوط",2025-10-03 18:47:15.854000+00:00,Positive
Kazem Ghazaleh,5,يا له من مقهى رائع، لقد أحببته حقًا، كان اختيار القهوة رائعًا وكذلك المذاق، والخدمة ودودة للغاية، وأعتقد أنني وجدت مكان القهوة المفضل لدي,2025-10-01 05:51:03.909000+00:00,Positive
Md Sakib Khan,5,"خدمة ممتازة... موقع ومساحة رائعان.
جميل.
كم عدد مطاعم البرانش في الرياض؟",2025-09-30 10:07:25.025000+00:00,Positive
ox,5,حلو وفخم,2025-09-28 10:39:14.255000+00:00,Positive
Tr.Badoor Tawfiq,5,مافي صابون بحمام النساء والقهوه لذيذه بس شويه مرررااااا والحلى كله مثلج والماتشا شوي ورد ومرميه اي كلااااااام تجربه ماتنعاد اتمنى لكم التطوير للافضل حتى لو زحمه العميل يبغى يتدللع جايين نروق ومانبي شي ناقص 🥲,2025-09-27 13:10:47.172000+00:00,Positive
H D,1,مافي اي احترام للزبون اول مادخلت مع عربيه بنتي طلع عامل مستعجل حتى باب كان بيقفل على عربيه  ثانيا الطلب جهز ولا احد بلغنا او وصل لنا الطلب ثالثا قطاعه الكيك أنا شفته يقطع الكيك ويرمي القطاعه في مغسله ويصب مويه بس وياليت يجفف الماء يستخدمها على طول  تجربه جدا سيئه,2025-09-25 20:59:28.946000+00:00,Negative
Abdullah khalid,5,افضل قهوة وافضل حلى وفعالياتهم باليوم الوطني توسع الصدر 🫡❤️❤️❤️❤️❤️,2025-09-25 10:58:30.234000+00:00,Positive
Aa G,5,فعلاً محل فاخر و ما اخذ قهوتي الا منه و خصوصا الموظف محمود والله انسان عسل و هو الي حببني في الكفي,2025-09-25 00:47:10.446000+00:00,Positive
z Ali,5,الموظف محمود ياخي وش أقول و أخلي فيه والله العظيم انه من أفضل المواظفين و البشوشين في هاذي المحمصه والله أنسان جداً لبق و محترم جدًا شكرًا لكم على حسن أختيار المواظفين .❤️,2025-09-25 00:47:07.749000+00:00,Positive
ريم البركاني,5,قهوة محمصة شفل بالرياض فريش وطعمها يجنن، والمق تصميمه مره حلو! تجربة رهيبة واكيد بنرجع لهم مره ثانية أكثر شيء أعجبني تحميص البن أمامك، تجربة فريدة لعشاق القهوة. لست من سكان الرياض وجئت لزيارة محمصة شفل لشهرتها، وكانت الزيارة تستحق. شكر خاص للأخ حسن على الاستقبال والخدمة الرائعة والتغليف روعه جدا 👍🏻,2025-09-21 19:33:25.115000+00:00,Positive
Rood,5,القهوه جميله والطعم روعه والناس اذواق  اشكر الاخ عبدالكريم على اخلاقه هذا الرجل المناسب في المكان المناسب,2025-09-21 04:38:59.332000+00:00,Positive
Khalid Alammar,4,"محمصة وقهوة مختصة.. القهوة المختصة متعددة بنكهتها الخاصة او بالفواكه. ومنعشة ويمكنك التذوق
الخدمة حلوة
يوجد لديهم ايسد تي وجميع انواع القهوة. الجلسات محدودة والطاولات كذلك. ليت يتم تنظيمه بشكل افضل

ولو  يكون الدور الثاني جلسات للمقهى كان أفضل..
اشتريت منهم ١ كيلو كولومبي لماكينة القهوة . مذاق سلس ومتوازن وقوام رائع سواءا لمشروبات الحليب او للأمريكانو",2025-09-19 10:06:24.162000+00:00,Positive
Nasser A,4,قهوة وحلويات جيدة,2025-09-19 07:34:20.230000+00:00,Positive
kazungu ronald,5,قهوة جيدة جدًا وخدمة سريعة جيدة 😇,2025-09-18 18:09:13.006000+00:00,Positive
Sh 112,4,مكان حلوووو  وصغير وموظفين خدومين طلبت سبانش لاتيه حلو وقهوه موزنه,2025-09-18 13:24:38.535000+00:00,Positive
Sarah Ibrahim,5,"احب قهوتهم لذيذه لذيييذه
يارب تكثر فروعكم❤️❤️❤️",2025-09-18 11:29:35.019000+00:00,Positive
عبدالله,5,"القهوه كلها جميله جداً جداً بلا منازع
المكان رهيب رهيب رهيب
القهوه جميله جداً
الكراسي مريحه واضح في تفاصيل اختياراتهم يهمهم رضا العميل شاكر ومقدر

مشكله وحده لرواد الصباح
ازعاج المطاحن مستمر 💔 علماً ان رواد الصباح ك غالب اصحاب الاعمال نكمل عملنا في القهاوي
اقتراح: يكون عازل زجاج زي طريقة ( كاكتي ) للمطاحن لان ازعاج المطاحن مشكله عظيمه 😕",2025-09-18 07:38:11.858000+00:00,Positive
Bashayer Altamimi,5,"جربت كيكة بودينق الشوكلاتة مره لذييييذه
وكمان التراميسو لذيذ والقطعه راهيه 😋
كرنشو كيك حلووه بس الحبيبات مو مقرمشه رطبه
وبعد جربت الجيلاتو اعجببببني ⭐️",2025-09-17 19:18:18.009000+00:00,Positive
Abdullah An,5,حلال,2025-09-16 17:54:04.325000+00:00,Positive
عبدالرحمن مرعي,1,عندي طلبية م وصلتني الى الان من الاسبوع الماضي,2025-09-16 06:46:03.079000+00:00,Negative
Mohammed Alharbi,5,والله احبكم يا شڤل ودايم اجيكم، كل شي 10/10 الا شي واحد ياليت تنتبهون له، ماينفع المحمصة عند الجلسات، صاير الوضع ازعاج الواحد مايقدر يشتغل اول يذاكر، الصبح قاعدين يحمصون وبالليل باكجينق والعمال يشتغلون، ياليت تشوفون لها حل، والله يوفقكم ❤️,2025-09-14 21:37:04.383000+00:00,Positive
Safar Abdullah,2,كلمت الموظف عن خصم أعطوني الأسبوع الماضي للهييئات والجيران - و اليوم يقول ما جيتني و ما اتذكر عشاي أمس 🤣😂 الاستقبال عندكم راح يقلل الزباين باذن الله اثق بهذا الشي,2025-09-11 03:42:20.698000+00:00,Negative
هنادي مساعد,5,المكان بااصحابه فعلاً جربت عندهم آلذ ماتشا واطلبوها كوكنت ميلك يمي صدق موزونه والمكان يشرح الصدر بالعصر مو آخر زيارة شكرآ على حسن الضيافة 🩷,2025-09-10 14:15:22.378000+00:00,Positive
sarah Alrumaih,5,للامانه جيت بالعيد الفطر واخذت قهوه V60 بن يمني اول مره اذوقه وكان لذيذ والحلا كمان لذيذ واجواء الكافيه حلوه,2025-09-09 17:34:06.626000+00:00,Positive
Maram Alis,5,المقهى حلو هادئ للعمل قهوته وحلاه لذيذ وتعامل الموظفين ممتاز وهادئ ♥️♥️,2025-09-08 21:21:49.379000+00:00,Positive
Salehah naseer,5,"مقهى جميل.. الكبتشينو لذيذ
الخدمه ممتازه
الاجواء مريحه",2025-09-07 08:46:51.061000+00:00,Positive
رأي nemo,5,"المعروف لا يعرف محمصه وكوفي شفل مميزه وواضح

البن منوع ورائع
المكان مريح والجلسات متنوعه

ملاحظه بسيطة :الحلا يحتاج لتنوع اكثر",2025-09-05 13:14:41.740000+00:00,Positive
Bassim Alkadi,5,نتقدم بخالص الشكر لصاحب المقهى وفريق العمل على اهتمامهم المُتميز، وتفاعلهم مع العملاء، والتزامهم بتقديم خدمة عالية الجودة. ونُشيد بتفانيهم في الحفاظ على أسعار معقولة، وبيئة نظيفة، وتقديم قهوة فاخرة باستمرار. جهودكم محل تقدير كبير.,2025-09-03 17:13:40.993000+00:00,Positive
BH,5,افضل محمصه ومقهى بالعالم,2025-09-02 23:43:18.478000+00:00,Positive
Sarah Abdallah,5,المكان رائع و مهيىء بطاولة للعمل والإجتماعات يقدمون الماء مجانا كضيافة لعملائهم والأسعار والقهوة ممتازة,2025-08-29 12:39:53.720000+00:00,Positive
SAUD,5,جربت من عندهم قهوه كلاسيكية كانت جيده الصراحه وجربت الاثيوبي جدًا رهيب ، والموظف محمود كان تعاملة جدًا ممتاز وبشوش ومبتسم مع الكل,2025-08-29 01:12:59.076000+00:00,Positive
Abdulrahman,5,خدمه ممتاز والجواء اجواء دراسية وفيه اكثر من بون,2025-08-28 23:24:18.707000+00:00,Positive
اخبار نجد,5,"محمصة شفل من كثر اعجاب الكثير
من الحمهور والثناء لهم
كانت زيارتنا لهم بسبب تميزهم ☕️💯👌👍
وصراحه من افضل الاماكن التي تعيش فيها اجواء القهوة
على اصولها وتستمتع براحتها ☕️ ❤️
ومن جميع النواحي مبدعين بكل التفاصيل 💯
نعتمد محمصة شفل في قائمة قهوتنا اليوميه 👌☕️
شكرا من القلب على هذا التميز والابداع والشكر موصول لمدير فرع  الياسمين محمصة شفل على اخلاقه العاليه وروحه الطيبه واستقباله للزبائن بكل اخلاص وامانه ❤️( الرجل المناسب في المكان المناسب)
لكم منا كل الاحترام والتقدير 🙏❤️",2025-08-26 09:14:32.747000+00:00,Positive
khawlah h,5,"تعامل الموظفين رائع جداً , الله يسعدهم يارررب",2025-08-26 08:57:26.587000+00:00,Positive
waseem alqahtani,3,الغطاء حق الاكواب اتمنى يتعدل,2025-08-26 04:00:47.500000+00:00,Neutral
sara alenazi,5,الريحه سيئه جدا في المكان جاني صداع القهوه كويسه بس الريحه غريبه,2025-08-24 16:45:36.294000+00:00,Positive
YNQ Riyadh_ksa,5,"محمصة جامعه لكل شي حلو : القهوه - الخدمه - النظافه - شراحة المكان - مكان مهيئ للعمل .

انصح بتجربة محصولهم الجديد
(coconut Columbia ) 👍",2025-08-23 19:47:35.428000+00:00,Positive
Mohammed,5,رجعو بودينج التمر 💔,2025-08-22 19:40:40.371000+00:00,Positive
Dalal Mmm,5,👍🏻,2025-08-22 07:48:43.377000+00:00,Positive
FARIS,5,ماشاء الله وقهوتهم جميله والحلى اجمل واجمل وشراحه المكان والموظفين اخلاقهم جميل والله يوفقهم,2025-08-22 02:32:26.886000+00:00,Positive
فاطمة ابو ثنين,5,قهوتهم بطلة من افضل المحامص,2025-08-21 15:04:50.334000+00:00,Positive
Abdullah Faisal,4,"مميز في القهوه ، قهوة اليوم يعطيك الكوب ويقولك ذوق من القهاوي الجاهزه وانت صب لنفسك ، ثلاث انواع من البن كولومبي وبرازيلي واثيوبي بإيحاءات مختلفه ، ايضا يوفر القهوه المقطره بسعر 16 ريال ، الحلويات تجيهم جاهزه من معامل خارجيه وانواعها مثل باقي الكوفيهات كرانشي و جوز الهند وتراميسو وخلافه ..

طلبت ( كيكة كرانشي مع قهوة اليوم صغير ) الاجمالي 33 ريال .. سعر يعتبر فوق المتوسط ، لكن الجوده ممتازة ..",2025-08-19 18:30:47.658000+00:00,Positive
W w,5,بصراحة، محمصة شڤل رائعة! البن طعمه ممتاز والتحميص متقن، أنصح الجميع بتجربتها.,2025-08-19 18:14:30.905000+00:00,Positive
HMFK hmfk,2,طلبت دونات بس ماوضحو الحجم اتقو الله نتفه كبر غطاء مويه ب٢٠ريال  وين عايشين,2025-08-19 17:41:08.551000+00:00,Negative
Mashael Oteef,5,"من المحمصات القريبه من قلبي
يومياً آخذ من عندهم قهوة اليوم بحكم جيرانا❤️
البن فاخر صراحه
عندهم فكره حلوه حاطين قهوه بارده بحيث مايخلون الثلج يذوب من حرارة القهوه",2025-08-19 09:51:51.421000+00:00,Positive
فوز الشريف,5,شفل عندهم اقوى محاصيل وأنواع البن عندهم ممتازه تستاهل كل ريال,2025-08-18 23:43:23.874000+00:00,Positive
Abdulrahman B.,5,جميل المقهى فبه حياة خاصة الويكند العصر.,2025-08-18 19:33:08.504000+00:00,Positive
Taif Hammad,4,القهوه حلوه .. بنسبه لدونات الزعتر طعم الشكلاته رديء جدا,2025-08-18 18:19:40.821000+00:00,Positive
Essam Ahmad,5,كلمة حق هذا الفرع اسطوري تعامل خدمة اسلوب الموظفين مرره جامد ومايحتاج نمدح قهوتهم لنها اسطوريه زيهم,2025-08-17 02:38:20.688000+00:00,Positive
ABDULRAHMAN SULAIMAN ALJURAIBAN,5,"أولاً السلام تحية الإسلام و السلام عليكم ورحمة الله و بركاته ،،

و اسعد الله اوقاتكم بكل خير .. الله يبارك لأصحاب الحلال ويزيدكم من فضله مبروكين فتح فرع حي الحمراء

ثانياً وهو الاول في مكانته عندي أشكر الموظف الجميل واللطيف القدوة للغير و المثالي الأخ / عبدالله الشهراني
كان تعامله لطيف جداً و تبادلنا الحوار إلي انصفه من تعامل الشخص بصراحة اول زياره لي لهذا القهوه و احترامه وكرمه المتفوق بحد ذاته مكسب لي وهذا يخليني في كل مجلس أقوم بذكره لا أخفيكم بأنه تسويق ناجح لأصحاب الحلال و كنصيحه محب كمثل هذا والله لا يفرط

شكراً جزيلاً يا عبدالله على الهديه و على كرمك لي بالقهوه هذا ان دل يدل على طيب أصلك واحترامك لكيانك و لعملك شكراً بحجم كل شيء والله انك تكسب قلوب وفقك الله و اتمنى لك الأماكن العُليا المواجهه للأقوى . 🌹",2025-08-16 23:18:59.834000+00:00,Positive
Omar.,5,القهوة و المكان و المخبوزات رائعين، المكان حلو بالنهار و هادي، لو تشغلون بيانو او موسيقى هادية بتعطي روح للمكان. شكرًا لأنكم تختارون الموظفين بعناية جميعهم رائعين و يخلون تجربة العميل أجمل و أجمل. الموظف السعودي الجديد بفترة الصباح للأمانة هو روح المكان، تعامله و خدمته تخلي الواحد يرجع بالتأكيد. لا تفرطون فيه واستثمروا فيه,2025-08-15 08:40:59.780000+00:00,Positive
Omar AL-subhi,5,زرت محمصة قهوة شفل في حي الياسمين، وجربت قهوة اليوم وكانت لذيذة ومتوازنة النكهة، والتراميسو طعمه رائع وطازج. المكان هادئ ومرتب، والخدمة ممتازة. أنصح بزيارتهم لعشاق القهوة والحلويات,2025-08-12 16:10:15.743000+00:00,Positive
دنّح /Dn7,5,اطلق محاصيل كلاسيك تاخذها من عندهم,2025-08-09 22:02:23.111000+00:00,Positive
Malak Alzahrani,5,التيراميسووو لذيييذ,2025-08-09 00:20:18.179000+00:00,Positive
Fatemah Blogger,5,كوفي شڤل يعرف كيف يدلع محبين القهوة! كوبهم الكبير مو بس يشبع، يملأ اليوم مزاج حلو، قهوة غنية بطعم قوي ومتوازن، وكل رشفة منها تحسسك إنك اخترت المكان الصح تبدأ فيه يومك أو تكمله,2025-08-08 23:03:55.761000+00:00,Positive
رسمي العضيلة,5,انصح فيه تجربه ناجحه وطعم القهوة روعه,2025-08-08 21:03:59.935000+00:00,Positive
تالين العمر,5,من اروع المحامص اللي رحت لها اخذت v60 اول مره ماتكون حامضة وطعمها ممتاز  موزنه صح والمكان جميل,2025-08-08 20:29:54.053000+00:00,Positive
Captain Mo,5,قهوة ممتازة وجلسات وخدمة رايقة والأفضل انه ٢٤ ساعة 👍🏼👍🏼,2025-08-06 17:41:29.734000+00:00,Positive
سجى 511,5,تجرّبه رائعه ومكان رايق وملموم 👍🏻,2025-08-06 12:43:29.500000+00:00,Positive
Ali hayyan,5,القهوة و الحلى جميل,2025-08-05 16:23:16.248000+00:00,Positive
أبوعبدالله,1,تم الطلب اون لاين وللأسف الطلبيه وصلة ناقصه محصول من المحاصيل الي طلبتها المحامص تزيد في الطلب وتروج لمنتجاتها بهدايا بعكس شفل يرسل الطلب ناقص.,2025-08-04 16:56:13.257000+00:00,Negative
Blunk David,5,لطيف - جيد,2025-08-04 07:59:56.576000+00:00,Positive
A,2,"بودينق التشوكلت
طعم التشوكلت رديئ ماعجبني فيه نكهه وخرب على طعم الحلا  قطعه
التشوكلت هو اساس الطعم في مثل هذا النوع من  الحلا
( التعليق قبل أسبوعين تقريبا )",2025-07-30 22:27:14.621000+00:00,Negative
Reenad,5,"قهوتهم حلوه دايم اخذ محصولهم
السينابون عندهم لذيذ لذيذ اتمنى ماتغيرون شي فيه

المشكله الوحيده دورة المياه واحده للجنسين",2025-07-30 14:29:55.790000+00:00,Positive
Raood ..,5,عبد العزيز أفضل باريستا على الإطلاق ✌️,2025-07-30 13:15:11.901000+00:00,Positive
Maha Sh,5,قهوتهم لذيذه وتيراميسو شي من الاخر فعلا,2025-07-30 11:22:54.616000+00:00,Positive
Sabah Mira,1,أرسلت السواق الساعة 9 صباحا ماعندهم قهوة حاارة معليش محل قهوة مختص و الصبح و ماعندهم قهوة حارة عيب في حقكم,2025-07-30 06:41:29.802000+00:00,Negative
Jay,4,"المقهى بشكل عام جيد الجلسات غير مريحة ومتلاصقة وغير واسعة.
اللاتيه الحار يجنن بمعنى الكلمة smooth ومرة لذيذ ما شاء الله. البراوني حلوة والسينابون حلو وكروسان الجبن والنعناع حليو.
قد جربت منهم البن اليمني أول مرة يجي حلو صراحة هالنوع يعطيكم العافية.",2025-07-28 19:26:44.737000+00:00,Positive
متعب محمد الشهري,4,ممتاز,2025-07-27 11:35:52.418000+00:00,Positive
ELYAS ALNAMLAH,5,القهوة لذيذة جدا وتعامل رائع جدا,2025-07-24 20:43:39.702000+00:00,Positive
عبدالرحمن الراشد,5,جميل وهادئ .. الموظف السعودي بشوش وخلوق,2025-07-24 14:54:54.845000+00:00,Positive
osama__ sas,5,الله يوفقهم شغلهم ممتاز ونظيف,2025-07-24 02:40:51.883000+00:00,Positive
محمد علي,1,سيء بما تعنيه الكلمه ، الوافل قديم وصغير مره ،  ومقاس كوب القهوه لقهوة اليوم البارد نفس حجم كوب اسبريسو ! وش هذا الاستغلال ! اول مره يمر علي هذا النوع من الشجع,2025-07-22 23:48:02.243000+00:00,Negative
اصيل اليافعي,5,قهوة اليوم جميلة جدا خاصة الإثيوبية + شكر خاصة للموظف نايف تعامل راقي عرف اننا جينا من جدة وعزمنا بقهوة الله يعطيه العافية على الرقي الجميل,2025-07-22 16:51:23.693000+00:00,Positive
يوسف اليحيى,5,بصراحة الجلسة في الصباح تحسسك بشعور رهيب لايوصف ، ناهيك عن الجودة والسعر المناسب والخدمة الجيدة والأصناف المنوعة ، الله يبارك لكم ويوفقكم .,2025-07-22 08:40:50.701000+00:00,Positive
lamees k.b,5,"رسلت بنتي تجبلي قهوة و كان بس عندها كاش لكن ماكان عندهم صرف وطلبت حجم وسط ف اعطاني الموظف الله يسعدو القهوة حجم كبير مجانا و موية و فوقها ايسكريم لبنتي مجاني 🤍
التعامل و الخدمة جدا ذوق .. شكراً للموظف عبدالعزيز",2025-07-19 08:22:18.687000+00:00,Positive
W Nn,5,قهوتهم ممتااازه يعطيهم العافيه واخص بالشكر لموظف هندي اسمه روبين محتررررررررررررررررم جيت بدري وكنت اسال عن نوع قهوه معين اخذته اليوم الي قبله ومو عارفه نوع القهوه نسيته ذوقني الانواع الموجوده وشرحت له كانت غير عرف الي اقصده وراح ضبطها لي استلمت الطلب وتقهويت بعدها جا يطمن كيف القهوه هذي الي تقصدينها ؟ كويسه ؟ حبيت حرصه واهتمامه بالزبون وجودة القهوة المقدمه له شكراً له,2025-07-18 04:38:27.441000+00:00,Positive
اودن,5,‏أسطوري v60 يمني وادعوا لي عاد ما يحتاج المحاصيل عندهم جربت أغلبها بس نطلب منهم التجديد,2025-07-16 23:37:10.732000+00:00,Positive
Nawaf Amir,5,إذا كنت تبحث عن تجربة متكاملة، قهوة عالية الجودة، سندويشات فاخرة، وحلويات فاخرة، فهذا هو المكان الأمثل. والأفضل من ذلك هو التحضير الجيد والسيد الودود والمهذب الذي يهتم بأدق التفاصيل ويستخدم تقنيات تحضير دقيقة. كانت دونات الكاسترد دافئة وهشة كالسحابة، وكانت ساندوتشات الحلومي بالريحان والطماطم لذيذة، وكان الكورتادو واللاتيه مثاليين. شكرًا جزيلاً لكم على إسعاد يومي، وعلى هذه الطريقة الرائعة لبدء يوم جمعة.,2025-07-14 06:42:20.577000+00:00,Positive
Ahmad Khayat,5,قهوة ممتازة، وخاصةً البن اليمني، والآيس كريم لذيذ جدًا. أعجبني الديكور والتصميم وأجواء المكان.,2025-07-13 08:00:18.919000+00:00,Positive
فهد ال الحمري,5,حلوحدا شكر لحست اتعامل,2025-07-12 12:31:32.725000+00:00,Positive
سويلم السويلم,5,"المكان ولا غلطه من الاخر
أصناف القهوه متنوعه حار وبارد .. وكذلك انواع الحلا والمخبوزات ..
لمست لديهم الحرص على رضا العميل  وهي غايه لديهم ، تلمس من تعاملهم معك  .. كأنك صاحب المكان ولست عميلا لهم ..
بفضل تلك المقومات اصبحت اتردد بشكل شبه يومي  للاستمتاع بأصناف القهوه وبالأجواء والمكان  ومستوى الخدمه المتقدم من طاقم العمل بلا استثناء .. وأخص بالذكر مشرف المحل الإنسان المهذب الاستاذ / ياسر .. وجه بشوش ودماثة اخلاق ورقي بالتعامل .. من مشاهداتي تعامله مع الجميع بمهنيه احترافيه عاليه ،  ويستحق عليها كل الشكر والتقدير .
اتمنى لكم مزيدا من التقدم ونتطلع إلى رؤيه المزيد من التطوير  . موفقين دوما .",2025-07-09 22:25:10.877000+00:00,Positive
Osama Hussain,5,لذيذ وجميل ومكان رائع والموظفين مميزين للغاية شكرا لتجربة الجميله 💙,2025-07-07 18:26:43.153000+00:00,Positive
Anoud,4,قهوة اليوم اثيوبي بارد زينه مررره بس الوافل حجمه و سعره صدمه مره الوحدة الصغيره ب 15 كبر نص اصبعي ، و اليمني ايسد دريب صراحة فظيييع بس التكيف جدا جدا بارد كانك بفريزر حتى لو جلست بعيد عن المكيف,2025-07-06 18:20:15.448000+00:00,Positive
عبدالله الملحم,5,جميل جميل صراحة وقهوة لذيذة جدا,2025-07-06 17:10:32.038000+00:00,Positive
Shalaby 1993,5,بغيت اجواء بغيت قهوة تطرب الراس بغيت خدمة كله موجود في شفل الله يوفقهم,2025-07-05 13:43:52.225000+00:00,Positive
Abdulaziz Alahmadi,5,ما شاء الله محل من الاخر.. من قهوه .. من حلى .. من خدمة و ادارة تفتح النفس ما شاء الله. الله يبارك لكم و استمروا,2025-07-04 02:15:09.865000+00:00,Positive
Ohood Almutairi,5,"قهوة ماتخذلك أبدًا .. تبي قهوة حارة، باردة، حلا، محاصيل عليها الكلام..
ماشاء الله الله يديم الإبداع يارب",2025-07-02 22:02:55.438000+00:00,Positive
Judy Mohammed,5,اشكر الموظف السعودي على اخلاقه وتعاونه معانا ساعدنا في التجربه الجميله قهوتهم رهييييبه وكل المحاصيل موجوده انصصحكم تجربونه🩷🩷,2025-07-02 21:32:51.089000+00:00,Positive
mishal 3,5,سلام عليكم، الموظف وليد العتيبي محترم,2025-06-29 09:45:48.523000+00:00,Positive
Mneera Ndhdu,5,"القهوة لذيذ  والحلا يجنن مره لذيذ وخفيف 🌷
‏ وأتمنى انكم تفتحون فرع ف الشرقيه ❤️‍🔥",2025-06-26 21:29:19.090000+00:00,Positive
Abdulmailk MD,5,قهوة اليوم الايس الفروتية جميلة ومحمود استقباله ممتاز ومتعاون جداً ووسيع صدر,2025-06-25 21:42:33.939000+00:00,Positive
Maha Alghofaili,5,الافوقادو لذيييذ وتعاملهم رائع,2025-06-25 13:34:20.497000+00:00,Positive
Omar Ibrahim,5,من افضل المحامص بالرياض وتعامل الموظفين فوق الممتاز ، بالتوفيق لهم ☕️🌌.,2025-06-24 10:29:52.103000+00:00,Positive
etc TQ,5,الباريستا محسن توب التوب,2025-06-18 23:31:49.349000+00:00,Positive
أبو ايسر』 المشرفي,5,عالعالم,2025-06-18 15:01:57.978000+00:00,Positive
Hksld,4,"المكان صغير لكن هادي رايق
قهوة اليوم ب ١٠ تعتبر غالية برضه الكوكيز ب ١٥ مرتفع جدا السعر
الكيك فرش و لزيز
قهوتهم ممتازة جدا جدا
المواقف قليلة",2025-06-17 14:34:44.862000+00:00,Positive
عبدالمحسن بن هادي,5,احلى مشروب (بارد) عندهم (كسكارا),2025-06-15 22:08:18.528000+00:00,Positive
Tumader,5,"اللاتيه لذيذ جدا احلى لاتيه جربته للأمانة
وجربت التيراميسو جيد ولكن بالنسبة لي فيه افضل منه",2025-06-13 11:36:42.391000+00:00,Positive
عدنان الحيمي,5,اشكر الموظف حسن البيشي على حسن التعامل,2025-06-13 11:27:43.084000+00:00,Positive
Tik Tok,1,غير راض عن أخلاق الموظفين قلة الموظفين.,2025-06-13 00:12:06.214000+00:00,Negative
Mohammed Alkhaldy,5,قهوة جميلة ومحصول كولومبي ممتاز,2025-06-12 18:19:39.562000+00:00,Positive
