Author Name,Rating,Review Text,Review Date,Sentiment (Rating-Based),is_duplicate_text,duplicate_same_author,Language,Review Text AR,Sentiment
Rood,5,القهوه جميله والطعم روعه والناس اذواق  اشكر الاخ عبدالكريم على اخلاقه هذا الرجل المناسب في المكان المناسب,2025-09-21 04:38:59.332000+00:00,Positive,False,False,ar,القهوه جميله والطعم روعه والناس اذواق اشكر الاخ عبدالكريم علي اخلاقه هذا الرجل المناسب في المكان المناسب,positive
Khalid Alammar,4,"محمصة وقهوة مختصة.. القهوة المختصة متعددة بنكهتها الخاصة او بالفواكه. ومنعشة ويمكنك التذوق
الخدمة حلوة
يوجد لديهم ايسد تي وجميع انواع القهوة. الجلسات محدودة والطاولات كذلك. ليت يتم تنظيمه بشكل افضل

ولو  يكون الدور الثاني جلسات للمقهى كان أفضل..
اشتريت منهم ١ كيلو كولومبي لماكينة القهوة . مذاق سلس ومتوازن وقوام رائع سواءا لمشروبات الحليب او للأمريكانو",2025-09-19 10:06:24.162000+00:00,Positive,False,False,ar,محمصه وقهوه مختصه القهوه المختصه متعده بنكهتها الخاصه او بالفواكه ومنعشه ويمكنك التذوق الخدمه حلوه يوجد لديهم ايسد تي وجميع انواع القهوه الجلسات محدوده والطاولات كذلك ليت يتم تنظيمه بشكل افضل ولو يكون الدور الثاني جلسات لمقهي كان افضل اشتريت منهم ١ كيلو كولومبي لماكينه القهوه مذاق سلس ومتوازن وقوام رائع سواءا لمشروبات الحليب او لامريكانو,positive
Nasser A,4,قهوة وحلويات جيدة,2025-09-19 07:34:20.230000+00:00,Positive,False,False,ar,قهوه وحلويات جيده,positive
kazungu ronald,5,قهوة جيدة جدًا وخدمة سريعة جيدة 😇,2025-09-18 18:09:13.006000+00:00,Positive,False,False,ar,قهوه جيده جدا وخدمه سريعه جيده,positive
Sh 112,4,مكان حلوووو  وصغير وموظفين خدومين طلبت سبانش لاتيه حلو وقهوه موزنه,2025-09-18 13:24:38.535000+00:00,Positive,False,False,ar,مكان حلو وصغير وموظفين خدومين طلبت سبانش لاتيه حلو وقهوه موزنه,positive
Sarah Ibrahim,5,"احب قهوتهم لذيذه لذيييذه
يارب تكثر فروعكم❤️❤️❤️",2025-09-18 11:29:35.019000+00:00,Positive,False,False,ar,احب قهوتهم لذيذه لذيذه يارب تكثر فروعكم,positive
عبدالله,5,"القهوه كلها جميله جداً جداً بلا منازع
المكان رهيب رهيب رهيب
القهوه جميله جداً
الكراسي مريحه واضح في تفاصيل اختياراتهم يهمهم رضا العميل شاكر ومقدر

مشكله وحده لرواد الصباح
ازعاج المطاحن مستمر 💔 علماً ان رواد الصباح ك غالب اصحاب الاعمال نكمل عملنا في القهاوي
اقتراح: يكون عازل زجاج زي طريقة ( كاكتي ) للمطاحن لان ازعاج المطاحن مشكله عظيمه 😕",2025-09-18 07:38:11.858000+00:00,Positive,False,False,ar,القهوه كلها جميله جدا جدا بلا منازع المكان رهيب رهيب رهيب القهوه جميله جدا الكراسي مريحه واضح في تفاصيل اختياراتهم يهمهم رضا العميل شاكر ومقدر مشكله وحده لرواد الصباح ازعاج المطاحن مستمر علما ان رواد الصباح ك غالب اصحاب الاعمال نكمل عملنا في القهاوي اقتراح يكون عازل زجاج زي طريقه كاكتي لمطاحن لان ازعاج المطاحن مشكله عظيمه,positive
Bashayer Altamimi,5,"جربت كيكة بودينق الشوكلاتة مره لذييييذه
وكمان التراميسو لذيذ والقطعه راهيه 😋
كرنشو كيك حلووه بس الحبيبات مو مقرمشه رطبه
وبعد جربت الجيلاتو اعجببببني ⭐️",2025-09-17 19:18:18.009000+00:00,Positive,False,False,ar,جربت كيكه بودينق الشوكلاته مره لذيذه وكمان التراميسو لذيذ والقطعه راهيه كرنشو كيك حلوه بس الحبيبات مو مقرمشه رطبه وبعد جربت الجيلاتو اعجبني,positive
Abdullah An,5,حلال,2025-09-16 17:54:04.325000+00:00,Positive,False,False,ar,حلال,positive
عبدالرحمن مرعي,1,عندي طلبية م وصلتني الى الان من الاسبوع الماضي,2025-09-16 06:46:03.079000+00:00,Negative,False,False,ar,عندي طلبيه م وصلتني الي الان من الاسبوع الماضي,negative
Mohammed Alharbi,5,والله احبكم يا شڤل ودايم اجيكم، كل شي 10/10 الا شي واحد ياليت تنتبهون له، ماينفع المحمصة عند الجلسات، صاير الوضع ازعاج الواحد مايقدر يشتغل اول يذاكر، الصبح قاعدين يحمصون وبالليل باكجينق والعمال يشتغلون، ياليت تشوفون لها حل، والله يوفقكم ❤️,2025-09-14 21:37:04.383000+00:00,Positive,False,False,ar,واله احبكم يا شڤل ودايم اجيكم، كل شي 10 10 الا شي واحد ياليت تنتبهون له، ماينفع المحمصه عند الجلسات، صاير الوضع ازعاج الواحد مايقدر يشتغل اول يذاكر، الصبح قاعدين يحمصون وباليل باكجينق والعمال يشتغلون، ياليت تشوفون لها حل، واله يوفقكم,positive
Safar Abdullah,2,كلمت الموظف عن خصم أعطوني الأسبوع الماضي للهييئات والجيران - و اليوم يقول ما جيتني و ما اتذكر عشاي أمس 🤣😂 الاستقبال عندكم راح يقلل الزباين باذن الله اثق بهذا الشي,2025-09-11 03:42:20.698000+00:00,Negative,False,False,ar,كلمت الموظف عن خصم اعطوني الاسبوع الماضي لهيئات والجيران و اليوم يقول ما جيتني و ما اتذكر عشاي امس الاستقبال عندكم راح يقل الزباين باذن اله اثق بهذا الشي,negative
هنادي مساعد,5,المكان بااصحابه فعلاً جربت عندهم آلذ ماتشا واطلبوها كوكنت ميلك يمي صدق موزونه والمكان يشرح الصدر بالعصر مو آخر زيارة شكرآ على حسن الضيافة 🩷,2025-09-10 14:15:22.378000+00:00,Positive,False,False,ar,المكان باصحابه فعلا جربت عندهم الذ ماتشا واطلبوها كوكنت ميلك يمي صدق موزونه والمكان يشرح الصدر بالعصر مو اخر زياره شكرا علي حسن الضيافه,positive
sarah Alrumaih,5,للامانه جيت بالعيد الفطر واخذت قهوه V60 بن يمني اول مره اذوقه وكان لذيذ والحلا كمان لذيذ واجواء الكافيه حلوه,2025-09-09 17:34:06.626000+00:00,Positive,False,False,ar,لامانه جيت بالعيد الفطر واخذت قهوه V60 بن يمني اول مره اذوقه وكان لذيذ والحلا كمان لذيذ واجواء الكافيه حلوه,positive
Maram Alis,5,المقهى حلو هادئ للعمل قهوته وحلاه لذيذ وتعامل الموظفين ممتاز وهادئ ♥️♥️,2025-09-08 21:21:49.379000+00:00,Positive,False,False,ar,المقهي حلو هادئ لعمل قهوته وحلاه لذيذ وتعامل الموظفين متاز وهادئ,positive
Salehah naseer,5,"مقهى جميل.. الكبتشينو لذيذ
الخدمه ممتازه
الاجواء مريحه",2025-09-07 08:46:51.061000+00:00,Positive,False,False,ar,مقهي جميل الكبتشينو لذيذ الخدمه متازه الاجواء مريحه,positive
رأي nemo,5,"المعروف لا يعرف محمصه وكوفي شفل مميزه وواضح

البن منوع ورائع
المكان مريح والجلسات متنوعه

ملاحظه بسيطة :الحلا يحتاج لتنوع اكثر",2025-09-05 13:14:41.740000+00:00,Positive,False,False,ar,المعروف لا يعرف محمصه وكوفي شفل ميزه واضح البن منوع ورائع المكان مريح والجلسات متنوعه ملاحظه بسيطه الحلا يحتاج لتنوع اكثر,positive
Bassim Alkadi,5,نتقدم بخالص الشكر لصاحب المقهى وفريق العمل على اهتمامهم المُتميز، وتفاعلهم مع العملاء، والتزامهم بتقديم خدمة عالية الجودة. ونُشيد بتفانيهم في الحفاظ على أسعار معقولة، وبيئة نظيفة، وتقديم قهوة فاخرة باستمرار. جهودكم محل تقدير كبير.,2025-09-03 17:13:40.993000+00:00,Positive,False,False,ar,نتقدم بخالص الشكر لصاحب المقهي وفريق العمل علي اهتمامهم المتميز، وتفاعلهم مع العملاء، والتزامهم بتقديم خدمه عاليه الجوده ونشيد بتفانيهم في الحفاظ علي اسعار معقوله، وبيئه نظيفه، وتقديم قهوه فاخره باستمرار جهودكم محل تقدير كبير,positive
BH,5,افضل محمصه ومقهى بالعالم,2025-09-02 23:43:18.478000+00:00,Positive,False,False,ar,افضل محمصه ومقهي بالعالم,positive
Sarah Abdallah,5,المكان رائع و مهيىء بطاولة للعمل والإجتماعات يقدمون الماء مجانا كضيافة لعملائهم والأسعار والقهوة ممتازة,2025-08-29 12:39:53.720000+00:00,Positive,False,False,ar,المكان رائع و مهيء بطاوله لعمل والاجتماعات يقدمون الماء مجانا كضيافه لعملائهم والاسعار والقهوه متازه,positive
SAUD,5,جربت من عندهم قهوه كلاسيكية كانت جيده الصراحه وجربت الاثيوبي جدًا رهيب ، والموظف محمود كان تعاملة جدًا ممتاز وبشوش ومبتسم مع الكل,2025-08-29 01:12:59.076000+00:00,Positive,False,False,ar,جربت من عندهم قهوه كلاسيكيه كانت جيده الصراحه وجربت الاثيوبي جدا رهيب ، والموظف محمود كان تعامله جدا متاز وبشوش ومبتسم مع الكل,positive
Abdulrahman,5,خدمه ممتاز والجواء اجواء دراسية وفيه اكثر من بون,2025-08-28 23:24:18.707000+00:00,Positive,False,False,ar,خدمه متاز والجواء اجواء دراسيه وفيه اكثر من بون,positive
اخبار نجد,5,"محمصة شفل من كثر اعجاب الكثير
من الحمهور والثناء لهم
كانت زيارتنا لهم بسبب تميزهم ☕️💯👌👍
وصراحه من افضل الاماكن التي تعيش فيها اجواء القهوة
على اصولها وتستمتع براحتها ☕️ ❤️
ومن جميع النواحي مبدعين بكل التفاصيل 💯
نعتمد محمصة شفل في قائمة قهوتنا اليوميه 👌☕️
شكرا من القلب على هذا التميز والابداع والشكر موصول لمدير فرع  الياسمين محمصة شفل على اخلاقه العاليه وروحه الطيبه واستقباله للزبائن بكل اخلاص وامانه ❤️( الرجل المناسب في المكان المناسب)
لكم منا كل الاحترام والتقدير 🙏❤️",2025-08-26 09:14:32.747000+00:00,Positive,False,False,ar,محمصه شفل من كثر اعجاب الكثير من الحمهور والثناء لهم كانت زيارتنا لهم بسب تميزهم وصراحه من افضل الاماكن التي تعيش فيها اجواء القهوه علي اصولها وتستمتع براحتها ومن جميع النواحي مبدعين بكل التفاصيل نعتمد محمصه شفل في قائمه قهوتنا اليوميه شكرا من القلب علي هذا التميز والابداع والشكر موصول لمدير فرع الياسمين محمصه شفل علي اخلاقه العاليه وروحه الطيبه واستقباله لزبائن بكل اخلاص وامانه الرجل المناسب في المكان المناسب لكم منا كل الاحترام والتقدير,positive
khawlah h,5,"تعامل الموظفين رائع جداً , الله يسعدهم يارررب",2025-08-26 08:57:26.587000+00:00,Positive,False,False,ar,تعامل الموظفين رائع جدا اله يسعدهم يارب,positive
waseem alqahtani,3,الغطاء حق الاكواب اتمنى يتعدل,2025-08-26 04:00:47.500000+00:00,Neutral,False,False,ar,الغطاء حق الاكواب اتمني يتعدل,neutral
sara alenazi,5,الريحه سيئه جدا في المكان جاني صداع القهوه كويسه بس الريحه غريبه,2025-08-24 16:45:36.294000+00:00,Positive,False,False,ar,الريحه سيئه جدا في المكان جاني صداع القهوه كويسه بس الريحه غريبه,positive
YNQ Riyadh_ksa,5,"محمصة جامعه لكل شي حلو : القهوه - الخدمه - النظافه - شراحة المكان - مكان مهيئ للعمل .

انصح بتجربة محصولهم الجديد
(coconut Columbia ) 👍",2025-08-23 19:47:35.428000+00:00,Positive,False,False,ar,محمصه جامعه لكل شي حلو القهوه الخدمه النظافه شراحه المكان مكان مهيئ لعمل انصح بتجربه محصولهم الجديد coconut Columbia,positive
Mohammed,5,رجعو بودينج التمر 💔,2025-08-22 19:40:40.371000+00:00,Positive,False,False,ar,رجعو بودينج التمر,positive
Dalal Mmm,5,👍🏻,2025-08-22 07:48:43.377000+00:00,Positive,True,False,unknown,,positive
FARIS,5,ماشاء الله وقهوتهم جميله والحلى اجمل واجمل وشراحه المكان والموظفين اخلاقهم جميل والله يوفقهم,2025-08-22 02:32:26.886000+00:00,Positive,False,False,ar,ماشاء اله وقهوتهم جميله والحلي اجمل واجمل وشراحه المكان والموظفين اخلاقهم جميل واله يوفقهم,positive
فاطمة ابو ثنين,5,قهوتهم بطلة من افضل المحامص,2025-08-21 15:04:50.334000+00:00,Positive,False,False,ar,قهوتهم بطله من افضل المحامص,positive
Abdullah Faisal,4,"مميز في القهوه ، قهوة اليوم يعطيك الكوب ويقولك ذوق من القهاوي الجاهزه وانت صب لنفسك ، ثلاث انواع من البن كولومبي وبرازيلي واثيوبي بإيحاءات مختلفه ، ايضا يوفر القهوه المقطره بسعر 16 ريال ، الحلويات تجيهم جاهزه من معامل خارجيه وانواعها مثل باقي الكوفيهات كرانشي و جوز الهند وتراميسو وخلافه ..

طلبت ( كيكة كرانشي مع قهوة اليوم صغير ) الاجمالي 33 ريال .. سعر يعتبر فوق المتوسط ، لكن الجوده ممتازة ..",2025-08-19 18:30:47.658000+00:00,Positive,False,False,ar,ميز في القهوه ، قهوه اليوم يعطيك الكوب ويقولك ذوق من القهاوي الجاهزه وانت صب لنفسك ، ثلاث انواع من البن كولومبي وبرازيلي واثيوبي بايحاءات مختلفه ، ايضا يوفر القهوه المقطره بسعر 16 ريال ، الحلويات تجيهم جاهزه من معامل خارجيه وانواعها مثل باقي الكوفيهات كرانشي و جوز الهند وتراميسو وخلافه طلبت كيكه كرانشي مع قهوه اليوم صغير الاجمالي 3 ريال سعر يعتبر فوق المتوسط ، لكن الجوده متازه,positive
W w,5,بصراحة، محمصة شڤل رائعة! البن طعمه ممتاز والتحميص متقن، أنصح الجميع بتجربتها.,2025-08-19 18:14:30.905000+00:00,Positive,False,False,ar,بصراحه، محمصه شڤل رائعه البن طعمه متاز والتحميص متقن، انصح الجميع بتجربتها,positive
HMFK hmfk,2,طلبت دونات بس ماوضحو الحجم اتقو الله نتفه كبر غطاء مويه ب٢٠ريال  وين عايشين,2025-08-19 17:41:08.551000+00:00,Negative,False,False,ar,طلبت دونات بس ماوضحو الحجم اتقو اله نتفه كبر غطاء مويه ب٢٠ريال وين عايشين,negative
Mashael Oteef,5,"من المحمصات القريبه من قلبي
يومياً آخذ من عندهم قهوة اليوم بحكم جيرانا❤️
البن فاخر صراحه
عندهم فكره حلوه حاطين قهوه بارده بحيث مايخلون الثلج يذوب من حرارة القهوه",2025-08-19 09:51:51.421000+00:00,Positive,False,False,ar,من المحمصات القريبه من قلبي يوميا اخذ من عندهم قهوه اليوم بحكم جيرانا البن فاخر صراحه عندهم فكره حلوه حاطين قهوه بارده بحيث مايخلون الثلج يذوب من حراره القهوه,positive
فوز الشريف,5,شفل عندهم اقوى محاصيل وأنواع البن عندهم ممتازه تستاهل كل ريال,2025-08-18 23:43:23.874000+00:00,Positive,False,False,ar,شفل عندهم اقوي محاصيل وانواع البن عندهم متازه تستاهل كل ريال,positive
Abdulrahman B.,5,جميل المقهى فبه حياة خاصة الويكند العصر.,2025-08-18 19:33:08.504000+00:00,Positive,False,False,ar,جميل المقهي فبه حياه خاصه الويكند العصر,positive
Taif Hammad,4,القهوه حلوه .. بنسبه لدونات الزعتر طعم الشكلاته رديء جدا,2025-08-18 18:19:40.821000+00:00,Positive,False,False,ar,القهوه حلوه بنسبه لدونات الزعتر طعم الشكلاته رديء جدا,positive
Essam Ahmad,5,كلمة حق هذا الفرع اسطوري تعامل خدمة اسلوب الموظفين مرره جامد ومايحتاج نمدح قهوتهم لنها اسطوريه زيهم,2025-08-17 02:38:20.688000+00:00,Positive,False,False,ar,كلمه حق هذا الفرع اسطوري تعامل خدمه اسلوب الموظفين مره جامد ومايحتاج نمدح قهوتهم لنها اسطوريه زيهم,positive
